"名称","代码","最新价","高","低","涨跌","涨跌幅","交易量","时间"
"富国银行","WFC","52.82","53.60","52.76","-0.34","-0.64%","19.99M","03:59:59"
"尤纳姆集团","UNM","39.14","39.68","38.95","+0.29","+0.75%","2.95M","03:59:59"
"尼尔森","NLSN","27.96","28.08","27.48","+0.00","+0.00%","7.04M","03:59:59"
"山脉资源集团","RRC","17.01","17.30","16.60","+0.48","+2.90%","5.80M","03:59:59"
"布朗福尔曼","BFb","50.69","51.27","49.91","+0.20","+0.40%","1.50M","03:59:59"
"希尔顿酒店","HLT","82.04","82.18","80.34","+1.38","+1.71%","2.65M","03:59:59"
"希悦尔公司","SEE","39.91","40.33","39.89","-0.22","-0.55%","1.25M","03:59:59"
"帕卡公司","PCAR","69.06","69.37","68.43","+0.28","+0.41%","1.14M","03:59:59"
"帕特森公司","PDCO","24.29","24.62","24.23","-0.06","-0.25%","1.29M","03:59:59"
"广达公司","PWR","32.88","33.20","32.85","-0.33","-0.99%","910.34K","03:59:59"
"库珀医疗","COO","275.33","276.63","273.97","+0.83","+0.30%","209.30K","03:59:59"
"应用材料公司","AMAT","38.35","38.74","38.07","+0.09","+0.24%","7.15M","03:59:59"
"康休","CXO","151.44","151.70","149.82","+0.92","+0.61%","1.50M","03:59:59"
"康卡斯特公司","CMCSA","35.22","35.72","35.18","-0.15","-0.42%","17.06M","03:59:59"
"康宁公司","GLW","35.39","35.65","35.36","-0.01","-0.03%","3.15M","03:59:59"
"康宝浓汤公司","CPB","36.86","38.43","36.68","-2.12","-5.44%","6.41M","03:59:59"
"康尼格拉","CAG","32.98","34.53","32.82","-3.08","-8.54%","16.57M","03:59:59"
"康捷国际","EXPD","72.66","73.37","72.52","-0.45","-0.62%","748.42K","03:59:59"
"康明斯","CMI","147.19","148.34","146.13","+0.16","+0.11%","920.82K","03:59:59"
"康菲石油公司","COP","77.52","77.99","77.31","+0.24","+0.31%","4.37M","03:59:59"
"弗里波特-麦克莫兰铜金公司","FCX","13.87","13.88","13.51","-0.13","-0.93%","20.50M","03:59:59"
"强生公司","JNJ","138.22","139.58","137.57","+0.06","+0.04%","6.45M","03:59:59"
"微芯科技公司","MCHP","78.61","79.34","78.35","-0.18","-0.23%","2.51M","03:59:59"
"微软公司","MSFT","114.41","114.91","114.20","+0.43","+0.38%","19.09M","03:59:59"
"德事隆","TXT","71.50","71.99","71.44","-0.02","-0.03%","707.70K","03:59:59"
"德州仪器公司","TXN","107.29","107.68","106.12","+1.07","+1.01%","4.70M","03:59:59"
"德文能源","DVN","39.38","40.18","39.33","-0.30","-0.76%","5.71M","03:59:59"
"快扣","FAST","58.07","58.74","57.69","+0.30","+0.52%","1.56M","03:59:59"
"快捷药方公司","ESRX","94.81","95.21","94.11","+0.53","+0.56%","2.44M","03:59:59"
"思佳讯","SWKS","89.94","90.73","89.62","-0.10","-0.11%","1.05M","03:59:59"
"思科系统公司","CSCO","48.33","48.76","48.21","-0.08","-0.17%","15.91M","03:59:59"
"怡安保险","AON","155.68","158.77","154.34","+1.04","+0.67%","849.15K","03:59:59"
"惠好公司","WY","32.82","33.03","32.69","+0.10","+0.31%","3.42M","03:59:59"
"惠普","HPQ","25.63","26.02","25.58","-0.34","-1.31%","7.93M","03:59:59"
"惠而浦","WHR","118.94","120.46","118.72","-0.42","-0.35%","636.40K","03:59:59"
"托马科金融集团","TMK","86.27","86.84","85.92","-0.29","-0.34%","406.09K","03:59:59"
"拖拉机供应公司","TSCO","91.11","91.95","90.67","-0.06","-0.07%","1.23M","03:59:59"
"挪威邮轮","NCLH","56.890","57.050","53.570","-0.290","-0.51%","4.53M","03:59:59"
"探索传播C类股","DISCK","29.42","29.56","28.92","+0.41","+1.41%","1.63M","03:59:59"
"探索传播公司","DISCA","31.91","32.08","31.41","+0.40","+1.27%","2.54M","03:59:59"
"摩托罗拉系统公司","MSI","128.53","129.63","128.41","-0.21","-0.16%","462.87K","03:59:59"
"摩根士丹利","MS","47.77","48.16","47.55","+0.07","+0.15%","12.20M","03:59:59"
"摩根大通公司","JPM","114.52","115.76","114.16","-0.50","-0.43%","13.28M","03:59:59"
"数字房地产信托公司","DLR","111.60","112.28","111.37","+0.08","+0.07%","2.00M","03:59:59"
"斯伦贝谢公司","SLB","61.17","61.69","60.40","+0.29","+0.48%","6.55M","03:59:59"
"斯卡纳公司","SCG","37.43","37.82","36.52","+0.80","+2.18%","2.14M","03:59:59"
"斯马克公司","SJM","102.37","104.66","102.12","-3.29","-3.11%","1.27M","03:59:59"
"新基公司","CELG","89.25","89.38","88.05","+0.95","+1.08%","3.65M","03:59:59"
"新思科技","SNPS","98.65","99.14","97.98","+0.65","+0.66%","1.11M","03:59:59"
"新田勘探","NFX","29.27","29.39","28.88","+0.65","+2.27%","2.65M","03:59:59"
"新纪元能源公司","NEE","165.59","166.57","164.25","+1.14","+0.69%","2.42M","03:59:59"
"新闻集团","NWSA","12.88","13.08","12.76","+0.03","+0.23%","8.92M","03:59:59"
"新闻集团","NWS","13.35","13.58","13.25","-0.05","-0.37%","774.08K","03:59:59"
"施乐公司","XRX","26.85","27.09","26.82","-0.25","-0.92%","1.98M","03:59:59"
"旅行者财产险集团","TRV","129.12","129.93","128.47","-0.38","-0.29%","836.46K","03:59:59"
"明尼苏达矿业制造公司","MMM","210.11","212.87","210.00","-0.96","-0.45%","1.61M","03:59:59"
"易昆尼克斯公司","EQIX","430.15","432.14","422.93","+7.02","+1.66%","518.41K","03:59:59"
"星巴克公司","SBUX","57.34","57.79","57.10","+0.07","+0.12%","6.61M","03:59:59"
